                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3662,                 3.7581,                 1.2029,                  0.006,                0.52344,                0.00613,                0.00337,                 1.0734,                  3.606,                 1.0652,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                 1.3688,                 3.5313,                 1.1772,                0.00982,                0.96406,                0.15345,                0.06331,                 1.0549,                 3.3781,                0.97748,             0.00014755,             0.00014755,             0.00014755
                      3,                 1.3388,                 1.8197,                 1.1039,                0.01224,                0.98125,                 0.4351,                 0.2354,                 1.1187,                 3.0351,                0.99656,             0.00022568,             0.00022568,             0.00022568
                      4,                 1.3163,                 1.4084,                 1.0817,                0.01499,                0.97344,                0.34713,                0.16218,                 1.0353,                 3.1186,                0.98828,             0.00030105,             0.00030105,             0.00030105
                      5,                 1.2478,                  1.245,                 1.0536,                0.01336,                0.93906,                0.32578,                0.20755,                 1.0759,                 3.1417,                 1.0261,             0.00037367,             0.00037367,             0.00037367
                      6,                 1.2645,                 1.1335,                 1.0511,                 0.0109,                0.97188,                0.64639,                0.39514,                 1.0915,                 2.9956,                0.98764,             0.00044355,             0.00044355,             0.00044355
                      7,                 1.2189,                  1.025,                 1.0513,                0.01107,                0.96719,                0.74313,                0.45557,                 1.0969,                 2.8683,                 0.9798,             0.00051067,             0.00051067,             0.00051067
                      8,                  1.225,                0.97467,                 1.0492,                0.01078,                0.98594,                0.82679,                0.49106,                 1.0899,                  2.762,                0.98128,             0.00057504,             0.00057504,             0.00057504
                      9,                 1.2288,                0.94357,                 1.0637,                0.01251,                0.99375,                0.75715,                 0.4816,                 1.0983,                 2.6158,                0.97468,             0.00063666,             0.00063666,             0.00063666
                     10,                 1.2108,                0.90024,                 1.0451,                 0.0132,                0.99219,                0.83911,                0.58236,                 1.1273,                 2.5699,                0.98893,             0.00069553,             0.00069553,             0.00069553
                     11,                 1.1641,                 0.8663,                  1.034,                0.96344,                0.16251,                0.80736,                0.53723,                 1.1516,                 2.5025,                 1.0257,             0.00075165,             0.00075165,             0.00075165
                     12,                 1.1704,                0.83698,                 1.0397,                0.97718,                0.07823,                0.85377,                0.59494,                 1.0515,                 2.3974,                0.97194,             0.00080502,             0.00080502,             0.00080502
                     13,                 1.1576,                0.83026,                 1.0437,                      1,                0.07406,                0.87474,                0.59594,                 1.1047,                 2.3852,                 1.0005,             0.00085564,             0.00085564,             0.00085564
                     14,                 1.1803,                 0.8203,                 1.0496,                      1,                0.28721,                0.91788,                0.62941,                 1.0605,                 2.1978,                 1.0061,             0.00090351,             0.00090351,             0.00090351
                     15,                 1.1927,                0.80671,                  1.062,                0.98748,                0.34291,                0.89238,                0.59181,                   1.19,                 2.0816,                 1.0561,             0.00094862,             0.00094862,             0.00094862
                     16,                 1.1777,                0.79901,                 1.0471,                0.98374,                  0.748,                0.93434,                0.62756,                 1.1566,                 1.7948,                 1.0356,             0.00099099,             0.00099099,             0.00099099
                     17,                 1.1791,                0.81164,                 1.0471,                0.97326,                0.57886,                0.89444,                0.59857,                 1.1589,                 1.7624,                 1.0421,              0.0010306,              0.0010306,              0.0010306
                     18,                  1.194,                0.79929,                 1.0561,                0.95422,                0.61913,                0.90603,                0.59242,                  1.177,                 1.7463,                 1.0454,              0.0010675,              0.0010675,              0.0010675
                     19,                 1.1905,                 0.7709,                 1.0501,                0.92252,                0.87187,                0.93867,                0.64153,                 1.1264,                 1.2655,                 1.0221,              0.0011016,              0.0011016,              0.0011016
                     20,                 1.1495,                0.74754,                 1.0365,                0.84503,                0.90352,                0.91664,                0.61756,                 1.1257,                 1.1303,                 1.0365,               0.001133,               0.001133,               0.001133
                     21,                  1.136,                0.72138,                 1.0311,                0.93193,                0.88886,                0.92568,                0.60586,                 1.2337,                 1.2289,                 1.0781,              0.0011169,              0.0011169,              0.0011169
                     22,                 1.1482,                0.71398,                 1.0385,                0.91366,                0.85315,                0.93702,                0.65405,                 1.0674,                  1.138,                 1.0173,              0.0010894,              0.0010894,              0.0010894
                     23,                  1.127,                0.69926,                 1.0358,                0.93951,                0.83125,                0.93553,                0.63669,                 1.1168,                 1.0621,                  1.039,              0.0010619,              0.0010619,              0.0010619
                     24,                 1.1336,                0.69201,                 1.0331,                0.84031,                0.88594,                 0.9266,                  0.597,                 1.1264,                0.99298,                 1.0324,              0.0010344,              0.0010344,              0.0010344
                     25,                 1.1086,                0.66708,                 1.0189,                0.91974,                0.90641,                0.94216,                0.63465,                 1.0979,                0.94929,                 1.0254,              0.0010069,              0.0010069,              0.0010069
                     26,                 1.1302,                0.66446,                 1.0347,                0.93734,                  0.907,                0.93999,                0.62465,                 1.1978,                0.96028,                 1.0622,             0.00097936,             0.00097936,             0.00097936
                     27,                 1.1403,                0.65915,                 1.0335,                0.93988,                 0.9074,                0.94518,                0.58294,                 1.2601,                0.82385,                 1.0876,             0.00095186,             0.00095186,             0.00095186
                     28,                 1.1174,                0.64795,                 1.0362,                0.91155,                0.91098,                0.93382,                0.55097,                 1.3382,                0.87806,                  1.106,             0.00092435,             0.00092435,             0.00092435
